thisN,thisTrialN,thisRepN,keyBlockStart.keys,keyBlockStart.rt,keyBlockStart.duration,trial_resp.keys,trial_resp.corr,slider_confidence.response,slider_confidence.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,blockStart.started,textBlockStart1.started,textBlockStart2.started,textBlockStart3.started,keyBlockStart.started,blockStart.stopped,blocks.keyBlockStart.keys,blocks.keyBlockStart.rt,blocks.keyBlockStart.duration,trial_type,trial.started,trial_stimulus.started,trial_resp.started,trial_stimulus.stopped,trial.stopped,trial_stimulus.stim,loop.trial_resp.keys,loop.trial_resp.corr,blockEnd.started,textBlockEnd.started,blockEnd.stopped,Confidencerating.started,text_confidencetask.started,slider_confidence.started,Confidencerating.stopped,blocks.slider_confidence.response,blocks.slider_confidence.rt,participant,session,backN,probability,blocks,trials,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.004834700001083547,18.939283899999282,,,,,,,,,,,,,,,,,,,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
0,0,0,space,0.9025709000015922,None,None,1,,,0,0,0,0,0,0,0,0,19.873457300000155,,,,18.94263680000222,18.945739599999797,18.945739599999797,18.945739599999797,18.945739599999797,19.85467240000071,space,0.9025709000015922,None,none,19.871405900001264,19.873457300000155,19.873457300000155,20.3863001000027,21.8700353000022,B,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
1,0,1,space,0.9025709000015922,None,None,1,,,0,0,0,0,1,0,1,0,21.886564100001124,,,,,,,,,,,,,none,21.87496470000042,21.886564100001124,21.886564100001124,22.38668080000207,23.870480000001407,H,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
2,0,2,space,0.9025709000015922,None,None,1,,,0,0,0,0,2,0,2,0,23.886796000002505,,,,,,,,,,,,,none,23.88446880000265,23.886796000002505,23.886796000002505,24.387008600002446,25.8708630000001,E,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
3,0,3,space,0.9025709000015922,None,None,0,,,0,0,0,0,3,0,3,0,25.88718660000086,,,,,,,,,,,,,back,25.8737022000023,25.88718660000086,25.88718660000086,26.38747990000047,27.871251600001415,H,None,0,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
4,0,4,space,0.9025709000015922,None,None,1,,,0,0,0,0,4,0,4,0,27.887714100001176,,,,,,,,,,,,,none,27.877339599999686,27.887714100001176,27.887714100001176,28.387827200000174,29.854973800000153,F,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
5,0,5,space,0.9025709000015922,None,None,0,,,0,0,0,0,5,0,5,0,29.87165290000121,,,,,,,,,,,,,back,29.858815700001287,29.87165290000121,29.87165290000121,30.37167170000248,31.855299800001376,H,None,0,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
6,0,6,space,0.9025709000015922,None,None,1,,,0,0,0,0,6,0,6,0,31.871997199999896,,,,,,,,,,,,,none,31.86098210000273,31.871997199999896,31.871997199999896,32.37183139999979,33.855524599999626,G,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
7,0,7,space,0.9025709000015922,None,None,1,,,0,0,0,0,7,0,7,0,33.87229710000247,,,,,,,,,,,,,none,33.85867839999992,33.87229710000247,33.87229710000247,34.37238630000138,35.85621340000216,A,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
8,0,8,space,0.9025709000015922,None,None,1,,,0,0,0,0,8,0,8,0,35.872672699999384,,,,,,,,,,,,,none,35.85959930000172,35.872672699999384,35.872672699999384,36.372738000001846,37.8568422999997,B,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
9,0,9,space,0.9025709000015922,None,None,1,,,0,0,0,0,9,0,9,0,37.87306539999918,,,,,,,,,,,,,none,37.86098640000273,37.87306539999918,37.87306539999918,38.37328660000276,39.857051499999216,C,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
10,0,10,space,0.9025709000015922,None,None,1,,,0,0,0,0,10,0,10,0,39.87351570000101,,,,,,,,,,,,,none,39.860298200001125,39.87351570000101,39.87351570000101,40.373669900000095,41.857727599999635,H,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
11,0,11,space,0.9025709000015922,None,None,1,,,0,0,0,0,11,0,11,0,41.8738486000002,,,,,,,,,,,,,none,41.86110740000004,41.8738486000002,41.8738486000002,42.37409630000184,43.85807410000052,E,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
12,0,12,space,0.9025709000015922,None,None,1,,,0,0,0,0,12,0,12,0,43.87429600000178,,,,,,,,,,,,,none,43.86131759999989,43.87429600000178,43.87429600000178,44.37448050000239,45.85815350000121,B,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
13,0,13,space,0.9025709000015922,None,None,1,,,0,0,0,0,13,0,13,0,45.87480090000099,,,,,,,,,,,,,none,45.86146469999949,45.87480090000099,45.87480090000099,46.37480530000175,47.858676200001355,C,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
14,0,14,space,0.9025709000015922,None,None,0,,,0,0,0,0,14,0,14,0,47.8751207000023,,,,,,,,,,,,,back,47.86150560000169,47.8751207000023,47.8751207000023,48.3753695000014,49.859060099999624,B,None,0,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
15,0,15,space,0.9025709000015922,None,None,1,,,0,0,0,0,15,0,15,0,49.87534560000131,,,,,,,,,,,,,none,49.861782899999525,49.87534560000131,49.87534560000131,50.3755321000026,51.85955240000112,A,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
16,0,16,space,0.9025709000015922,None,None,1,,,0,0,0,0,16,0,16,0,51.875946800002566,,,,,,,,,,,,,none,51.86363800000254,51.875946800002566,51.875946800002566,52.37605500000063,53.8599850999999,C,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
17,0,17,space,0.9025709000015922,None,None,1,,,0,0,0,0,17,0,17,0,53.87644600000203,,,,,,,,,,,,,none,53.86350930000117,53.87644600000203,53.87644600000203,54.37643989999924,55.8602017000012,F,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
18,0,18,space,0.9025709000015922,None,None,1,,,0,0,0,0,18,0,18,0,55.87678600000072,,,,,,,,,,,,,none,55.863743500001874,55.87678600000072,55.87678600000072,56.37739480000164,57.860724900001514,H,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
19,0,19,space,0.9025709000015922,None,None,0,,,0,0,0,0,19,0,19,0,57.87734320000163,,,,,,,,,,,,,back,57.863956100001815,57.87734320000163,57.87734320000163,58.37713740000254,59.86105529999986,F,None,0,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
20,0,20,space,0.9025709000015922,None,None,1,,,0,0,0,0,20,0,20,0,59.877677700002096,,,,,,,,,,,,,none,59.86432179999974,59.877677700002096,59.877677700002096,60.3776770000004,61.86153710000144,B,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
21,0,21,space,0.9025709000015922,None,None,0,,,0,0,0,0,21,0,21,0,61.87806400000045,,,,,,,,,,,,,back,61.86483370000133,61.87806400000045,61.87806400000045,62.37793050000255,63.86179760000232,F,None,0,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
22,0,22,space,0.9025709000015922,None,None,1,,,0,0,0,0,22,0,22,0,63.878563599999325,,,,,,,,,,,,,none,63.864976700002444,63.878563599999325,63.878563599999325,64.37861270000212,65.86230870000145,G,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
23,0,23,space,0.9025709000015922,None,None,1,,,0,0,0,0,23,0,23,0,65.87871820000146,,,,,,,,,,,,,none,65.86543660000098,65.87871820000146,65.87871820000146,66.37898340000174,67.86271050000141,C,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
24,0,24,space,0.9025709000015922,None,None,1,,,0,0,0,0,24,0,24,0,67.87928880000254,,,,,,,,,,,,,none,67.86589889999959,67.87928880000254,67.87928880000254,68.37934800000221,69.86360609999974,H,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
25,0,25,space,0.9025709000015922,None,None,1,,,0,0,0,0,25,0,25,0,69.87946220000231,,,,,,,,,,,,,none,69.86753690000114,69.87946220000231,69.87946220000231,70.37964350000038,71.86363210000127,B,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
26,0,26,space,0.9025709000015922,None,None,1,,,0,0,0,0,26,0,26,0,71.88005720000001,,,,,,,,,,,,,none,71.86724310000136,71.88005720000001,71.88005720000001,72.38010520000171,73.86395750000156,G,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
27,0,27,space,0.9025709000015922,None,None,1,,,0,0,0,0,27,0,27,0,73.88031179999962,,,,,,,,,,,,,none,73.86715689999983,73.88031179999962,73.88031179999962,74.3805054000004,75.86434350000127,H,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
28,0,28,space,0.9025709000015922,None,None,0,,,0,0,0,0,28,0,28,0,75.88068560000102,,,,,,,,,,,,,back,75.8670904999999,75.88068560000102,75.88068560000102,76.38108170000123,77.86464700000215,G,None,0,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
29,0,29,space,0.9025709000015922,None,None,1,,,0,0,0,0,29,0,29,0,77.88116380000065,,,,,,,,,,,,,none,77.86816180000096,77.88116380000065,77.88116380000065,78.38107520000267,79.86503680000169,C,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
30,0,30,space,0.9025709000015922,None,None,1,,,0,0,0,0,30,0,30,0,79.88150420000238,,,,,,,,,,,,,none,79.8664013000016,79.88150420000238,79.88150420000238,80.38172510000004,81.86555380000209,F,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
31,0,31,space,0.9025709000015922,None,None,1,,,0,0,0,0,31,0,31,0,81.88192759999947,,,,,,,,,,,,,none,81.86902180000106,81.88192759999947,81.88192759999947,82.38218760000018,83.86579809999967,G,None,1,,,,,,,,,,subj-1,sess-01,2,0.3,5,50,2025-02-04_16h36.51.969,n-back,2024.2.4,59.972460646260764,2025-02-04 16h37.14.856185 +0000,
